Video ID,Comment ID,comments
EqzUcMzfV1w,UgwcH2Q4rJz8tPw4IAV4AaABAg,Finally    Thank  you  Brad  for  everything  you  do  
EqzUcMzfV1w,UgxgWqODyI0R_kfdP6x4AaABAg,Amazing    thanks  for  the  extra  details  as  always  
EqzUcMzfV1w,Ugw6viHtVuqpas30Lk14AaABAg,Thank  you  for  the  great  overview  Brad    I  was  searching  for  a  roadmap  like  that    Additionaly  you  deliver  all  the  courses  to  get  started    This  is  really  awsome    I  just  invested  in  all  the  payed  course  that  are  mentioned  in  the  description  to  get  the  ball  rolling    This  realy  motivates  me    Thank  you  for  the  hard      quality  work    It's  really  appriciated  
EqzUcMzfV1w,UgxdjJ-dawXsn0nCA0J4AaABAg,I  was  just  thinking    Oh  im  excited  for  web  dev  in  2022    right  before  finding  this  lol    Thanks  for  all  the  work    hope  2022  is  the  best  one  yet  
EqzUcMzfV1w,Ugy5ENs59yLhX4JxR2x4AaABAg,Thank  you    Brad    Very    very  useful  
EqzUcMzfV1w,Ugyen-vbydcktmjoov54AaABAg,I  wait  for  this  video  every  start  of  the  year  so  far  the  best  video  of  2022    what  a  great  content  Brad    i  wait  for  this  one  more  than  the  premiere  of  Eternal  on  Disney    
EqzUcMzfV1w,UgyxEI0EmmV2m_ktiQ14AaABAg,Hey    Thanks  for  sharing  this    I  didn't  know  anything  related  to  website  development  so  I  recently  hired  a  web  developer  from  Carrot  to  create  a  website  for  me  and  an  app    I  have  really  liked  their  work  and  would  highly  recommend  that    Having  said  that  learning  new  things  have  always  been  something  I  like  so  I  am  looking  forward  to  learning  this  skill  too        
EqzUcMzfV1w,UgwkZ_M3FNuQU3UEQuB4AaABAg,This  is  by  far  the  best  form  of  any  educational  video  material  I  found  on  the  internet    It  literally  gives  you  a  detailed  overview  of  the  path  you  are  going  to  take  before  starting    All  the  knowledge  in  this  world  should  have  such  practical  guides  for  everyone  who  wants  to  learn  
EqzUcMzfV1w,Ugy4bkwy3seyoiB6rXV4AaABAg,Really  needed  it    bro    Giving  hope      BTW  can  you  suggest  us  a  website  where  practice  with  HTML    CSS  and  JS  are  being  asked  and  given  challanges  as  for  practice  
EqzUcMzfV1w,UgyBHA4irZqBiPkamup4AaABAg,please  can  you  make  a  similar  kind  of  guide  video  on  Data  science  for  beginners  to  advanced      love  ur  contents
